
1444234889.410:  80 02 FF DD A1
1444234889.410:  AA AA 04 80 02 FF F4 8A
1444234889.410:  AA AA 04 80 02 00 08 75
1444234889.410:  AA AA 04 80 02 FF EC 92
1444234889.410:  AA AA 04 80 02 00 44
1444234889.410:  39
1444234889.410:  AA AA 04 80 02 00 51 2C
1444234889.410:  AA AA 04 80 02 00 15 68
1444234889.410:  AA AA 04 80 02 00 54 29
1444234889.410:  AA AA 04 80 02 00 3D 40
1444234889.410:  AA AA 04
1444234889.426:  80 02 00 14 69
1444234889.426:  AA AA 04 80 02 00 55 28
1444234889.426:  AA AA 04 80 02 00 30 4D
1444234889.426:  AA AA 04 80 02 00 2B 52
1444234889.426:  AA AA 04 80 02 00 6D
1444234889.442:  10
1444234889.442:  AA AA 04 80 02 00 28 55
1444234889.442:  AA AA 04 80 02 00 27 56
1444234889.442:  AA AA 04 80 02 00 84 F9
1444234889.442:  AA AA 04 80 02 00 5B 22
1444234889.442:  AA AA 04
1444234889.442:  80 02 00 67 16
1444234889.442:  AA AA 04 80 02 00 73 0A
1444234889.442:  AA AA 04 80 02 00 15 68
1444234889.442:  AA AA 04 80 02 00 50 2D
1444234889.442:  AA AA 04 80 02 00 66
1444234889.460:  17
1444234889.460:  AA AA 04 80 02 00 03 7A
1444234889.460:  AA AA 04 80 02 00 16 67
1444234889.937:  AA AA 04 80 02 00 16 67
1444234889.937:  AA AA 04 80 02 FF E9 95
1444234889.937:  AA AA 04 80 02 00 1A 63
1444234889.937:  AA AA 04 80 02 FF F7 87
1444234889.937:  AA AA 04 80 02 FF DC A2
1444234889.937:  AA AA 04 80 02 00 61 1C
1444234889.953:  AA AA 04 80 02 00 53 2A
1444234889.953:  AA AA 04 80 02 00 07 76
1444234889.953:  AA AA 04 80 02 00 03 7A
1444234889.953:  AA AA 04 80 02 FF D5 A9
1444234889.953:  AA AA 04 80 02 00 03 7A
1444234889.953:  AA AA 04 80 02 00 42 3B
1444234889.953:  AA AA 04 80 02 FF DD A1
1444234889.953:  AA AA 04 80 02 FF EC 92
1444234889.953:  AA AA 04 80 02 00 50 2D
1444234889.953:  AA AA 04 80 02 00 46 37
1444234889.953:  AA AA 04 80 02 00 6C 11
1444234889.953:  AA AA 04 80 02 00 66 17
1444234889.953:  AA AA 04 80 02 00 33 4A
1444234889.953:  AA AA 04 80 02 00 95 E8
1444234889.953:  AA AA 04 80 02 00 87 F6
1444234889.953:  AA AA 04 80 02 00 12 6B
1444234889.953:  AA AA 04 80 02 00 50 2D
1444234889.953:  AA AA 04 80 02 00 75 08
1444234889.953:  AA AA 04 80 02 00 73 0A
1444234889.953:  AA AA 04 80 02 00 93 EA
1444234889.953:  AA AA 04 80 02 00 2A 53
1444234889.953:  AA AA 04 80 02 00 17 66
1444234889.953:  AA AA 04 80 02 00 6A 13
1444234889.953:  AA AA 04 80 02 00 26 57
1444234889.953:  AA AA 04 80 02 00 2A 53
1444234889.953:  AA AA 04 80 02 00 8D F0
1444234889.953:  AA AA 04 80 02 00 88 F5
1444234889.953:  AA AA 04 80 02 00 92 EB
1444234889.953:  AA AA 04 80 02 00 6D 10
1444234889.953:  AA AA 04 80 02 FF FB 83
1444234889.953:  AA AA 04 80 02 00 51 2C
1444234889.953:  AA AA 04 80 02 00 99 E4
1444234889.953:  AA AA 04 80 02 00 40 3D
1444234889.953:  AA AA 04 80 02 00 42 3B
1444234889.953:  AA AA 04 80 02 00 2C 51
1444234889.953:  AA AA 04 80 02 00 21 5C
1444234889.953:  AA AA 04 80 02 00 6D 10
1444234889.953:  AA AA 04 80 02 00 37 46
1444234889.953:  AA AA 04 80 02 00 0C 71
1444234889.953:  AA AA 04 80 02 00 77 06
1444234889.953:  AA AA 04 80 02 00 49 34
1444234889.953:  AA AA 04 80 02 00 06 77
1444234889.953:  AA AA 04 80 02 00 30 4D
1444234889.953:  AA AA 04 80 02 00 13 6A
1444234889.953:  AA AA 04 80 02 00 50 2D
1444234889.953:  AA AA 04 80 02 00 89 F4
1444234889.953:  AA AA 04 80 02 00 14 69
1444234889.953:  AA AA 04 80 02 00 15 68
1444234889.953:  AA AA 04 80 02 00 5C 21
1444234889.953:  AA AA 04 80 02 00 22 5B
1444234889.953:  AA AA 04 80 02 00 39 44
1444234889.953:  AA AA 04 80 02 00 4B 32
1444234889.953:  AA AA 04 80 02 00 32 4B
1444234889.953:  AA AA 04 80 02 00 96 E7
1444234889.953:  AA AA 04 80 02 00 7C 01
1444234889.953:  AA AA 04 80 02 00 1B 62
1444234889.953:  AA AA 04 80 02 00 66 17
1444234889.953:  AA AA 04 80 02 00 78 05
1444234889.953:  AA AA 04 80 02 00 71 0C
1444234889.953:  AA AA 04 80 02 00 B2 CB
1444234889.953:  AA AA 04 80 02 00 7A 03
1444234889.953:  AA AA 04 80 02 00 73 0A
1444234889.953:  AA AA 04 80 02 00 C8 B5
1444234889.953:  AA AA 04 80 02 00 64 19
1444234889.953:  AA AA 04 80 02 00 30 4D
1444234889.953:  AA AA 04 80 02 00 54 29
1444234889.969:  AA AA 04 80 02 00 28 55
1444234889.969:  AA AA 04 80 02 00 4A 33
1444234889.969:  AA AA 04 80 02 00 60 1D
1444234889.969:  AA AA 04 80 02 00 15 68
1444234889.969:  AA AA 04 80 02 00 48 35
1444234889.969:  AA AA 04 80 02 00 65 18
1444234889.969:  AA AA 04 80 02 00 10 6D
1444234889.969:  AA AA 04 80 02 00 34 49
1444234889.969:  AA AA 04 80 02 00 30 4D
1444234889.969:  AA AA 04 80 02 00 25 58
1444234889.969:  AA AA 04 80 02 00 AA D3
1444234889.969:  AA AA 04 80 02 00 95 E8
1444234889.969:  AA AA 04 80 02 00 41 3C
1444234889.969:  AA AA 04 80 02 00 59 24
1444234889.969:  AA AA 04 80 02 00 23 5A
1444234889.969:  AA AA 04 80 02 00 0B 72
1444234889.969:  AA AA 04 80 02 00 3C 41
1444234889.969:  AA AA 04 80 02 FF ED 91
1444234889.969:  AA AA 04 80 02 00 0D 70
1444234889.969:  AA AA 04 80 02 00 70 0D
1444234889.969:  AA AA 04 80 02 00 20 5D
1444234889.969:  AA AA 04 80 02 00 11 6C
1444234889.969:  AA AA 04 80 02 00 27 56
1444234889.969:  AA AA 04 80 02 00 01 7C
1444234889.969:  AA AA 04 80 02 00 38 45
1444234889.969:  AA AA 04 80 02 00 1A 63
1444234889.969:  AA AA 04 80 02 FF AD D1
1444234889.969:  AA AA 04 80 02 00 08 75
1444234889.969:  AA AA 04 80 02 00 31 4C
1444234889.969:  AA AA 04 80 02 FF EA 94
1444234889.969:  AA AA 04 80 02 FF ED 91
1444234889.969:  AA AA 04 80 02 FF B3 CB
1444234889.969:  AA AA 04 80 02 FF BD C1
1444234889.969:  AA AA 04 80 02 00 2D 50
1444234889.969:  AA AA 04 80 02 FF E9 95
1444234889.969:  AA AA 04 80 02 FF A6 D8
1444234889.969:  AA AA 04 80 02 FF FB 83
1444234889.969:  AA AA 04 80 02 FF F2 8C
1444234889.969:  AA AA 04 80 02 FF FE 80
1444234889.969:  AA AA 04 80 02 00 12 6B
1444234889.969:  AA AA 04 80 02 FF AE D0
1444234889.969:  AA AA 04 80 02 FF D7 A7
1444234889.969:  AA AA 04 80 02 FF FB 83
1444234889.969:  AA AA 04 80 02 FF 9C E2
1444234889.969:  AA AA 04 80 02 FF C9 B5
1444234889.969:  AA AA 04 80 02 00 06 77
1444234889.969:  AA AA 04 80 02 FF FC 82
1444234889.969:  AA AA 04 80 02 00 27 56
1444234889.969:  AA AA 04 80 02 FF E9 95
1444234889.969:  AA AA 04 80 02 FF 9D E1
1444234889.969:  AA AA 04 80 02 00 05 78
1444234889.969:  AA AA 04 80 02 FF DB A3
1444234889.969:  AA AA 04 80 02 FF 6F 0F
1444234889.969:  AA AA 04 80 02 FF A4 DA
1444234889.969:  AA AA 04 80 02 FF A6 D8
1444234889.969:  AA AA 04 80 02 FF BC C2
1444234889.969:  AA AA 04 80 02 FF E9 95
1444234889.969:  AA AA 04 80 02 FF 7C 02
1444234889.969:  AA AA 04 80 02 FF 7E 00
1444234889.969:  AA AA 04 80 02 FF E7 97
1444234889.969:  AA AA 04 80 02 FF B2 CC
1444234889.984:  AA AA 04 80 02 FF B5 C9
