H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:45:09.051333 2040 2041 2118.7746 2138.022 2117.9943 2144.2644 2081.5803 2141.4033 2145.825 2152.5876 2145.825 2149.7265 2142.9639 2152.3275 2147.1255 2141.6634 
14:45:09.058326 2039 2041 2102.6484 2126.3175 2112.5322 2129.1786 2066.4945 2122.1559 2126.5776 2142.4437 2133.0801 2132.82 2123.9766 2137.5018 2132.0397 2142.9639 
14:45:09.066700 2041 2042 2102.6484 2121.6357 2116.9539 2120.3352 2052.4491 2110.4514 2119.0347 2126.3175 2121.8958 2116.1736 2111.7519 2126.5776 2117.7342 2137.2417 
14:45:09.074352 2040 2042 2114.3529 2129.4387 2122.416 2125.7973 2054.79 2111.7519 2120.3352 2119.815 2121.3756 2115.9135 2125.017 2138.5422 2127.0978 2137.5018 
14:45:09.082329 2039 2043 2123.4564 2127.0978 2126.0574 2120.0751 2054.79 2105.5095 2112.5322 2109.411 2116.1736 2103.4287 2125.7973 2139.3225 2126.8377 2144.2644 
14:45:09.090327 2039 2043 2121.3756 2122.9362 2123.9766 2109.9312 2051.1486 2099.2671 2110.4514 2108.6307 2115.9135 2094.5853 2119.0347 2136.7215 2121.3756 2142.7038 
14:45:09.098677 2039 2043 2113.0524 2115.3933 2117.9943 2102.9085 2042.5653 2093.805 2107.3302 2111.2317 2116.1736 2102.9085 2114.8731 2135.421 2120.0751 2141.9235 
14:45:09.106335 2039 2043 2116.6938 2103.1686 2118.7746 2099.007 2039.4441 2092.5045 2100.5676 2107.8504 2112.2721 2110.9716 2104.9893 2123.7165 2112.7923 2140.1028 
14:45:09.114329 2038 2040 2120.5953 2107.5903 2122.1559 2106.2898 2055.0501 2103.1686 2104.9893 2116.6938 2115.3933 2116.1736 2106.5499 2121.8958 2113.3125 2147.9058 
14:45:09.121326 2040 2040 2121.1155 2120.0751 2130.4791 2115.6534 2064.9339 2109.9312 2112.2721 2125.017 2119.2948 2116.4337 2119.2948 2134.3806 2123.7165 2146.0851 
14:45:09.129617 2041 2040 2115.6534 2122.6761 2125.017 2123.9766 2069.6157 2115.9135 2118.2544 2122.1559 2119.5549 2121.3756 2123.9766 2135.1609 2127.618 2136.4614 
14:45:09.137330 2043 2040 2117.7342 2132.0397 2121.8958 2139.3225 2091.7242 2132.2998 2132.0397 2129.4387 2127.618 2133.8604 2128.1382 2135.6811 2130.4791 2122.9362 
14:45:09.145308 2042 2041 2116.9539 2148.426 2121.1155 2152.8477 2110.1913 2142.9639 2143.224 2134.3806 2130.219 2129.9589 2135.421 2142.4437 2132.2998 2132.5599 
14:45:09.153308 2045 2042 2126.8377 2166.3729 2128.1382 2167.6734 2121.1155 2155.1886 2153.1078 2147.6457 2139.3225 2137.5018 2158.5699 2161.6911 2154.4083 2140.1028 
14:45:09.161394 2046 2042 2124.7569 2151.2871 2119.0347 2151.027 2105.2494 2139.3225 2136.4614 2140.3629 2129.1786 2135.421 2153.628 2156.4891 2153.628 2137.7619 
14:45:09.169334 2045 2042 2125.2771 2157.7896 2117.7342 2162.9916 2117.7342 2149.7265 2150.2467 2159.0901 2146.0851 2161.431 2161.9512 2165.5926 2164.8123 2123.9766 
14:45:09.177316 2046 2043 2120.0751 2157.2694 2118.2544 2164.2921 2112.7923 2151.5472 2157.0093 2165.3325 2158.83 2165.5926 2160.3906 2163.7719 2163.7719 2127.0978 
14:45:09.184319 2046 2043 2129.6988 2165.8527 2128.6584 2166.3729 2112.012 2152.3275 2157.0093 2167.1532 2161.9512 2164.032 2168.4537 2173.3956 2170.2744 2133.6003 
14:45:09.192418 2046 2042 2125.2771 2153.3679 2127.0978 2153.628 2099.007 2137.2417 2139.3225 2149.9866 2140.1028 2151.2871 2152.3275 2162.4714 2155.4487 2135.1609 
14:45:09.200328 2045 2043 2122.6761 2140.1028 2127.3579 2140.8831 2084.4414 2126.3175 2128.1382 2138.5422 2130.7392 2134.6407 2139.8427 2151.2871 2145.0447 2133.8604 
14:45:09.208315 2047 2042 2116.1736 2132.2998 2123.9766 2129.1786 2077.1586 2117.4741 2119.0347 2132.2998 2126.3175 2117.7342 2136.7215 2144.0043 2142.9639 2134.6407 
14:45:09.216417 2045 2042 2117.214 2125.5372 2123.7165 2121.1155 2072.7369 2115.6534 2119.5549 2127.0978 2123.9766 2121.1155 2123.7165 2138.8023 2132.82 2134.3806 
14:45:09.224423 2046 2040 2120.3352 2125.017 2121.8958 2123.7165 2070.1359 2116.9539 2117.9943 2130.4791 2129.6988 2140.8831 2122.416 2143.224 2130.4791 2136.2013 
14:45:09.232329 2047 2041 2120.0751 2117.214 2124.2367 2114.3529 2059.7319 2103.4287 2105.5095 2124.2367 2128.6584 2133.8604 2120.3352 2138.5422 2127.3579 2140.3629 
14:45:09.240313 2049 2042 2120.8554 2112.5322 2127.8781 2105.2494 2056.3506 2102.3883 2109.411 2120.3352 2126.8377 2118.2544 2111.7519 2132.82 2123.1963 2136.7215 
14:45:09.248386 2048 2041 2118.5145 2115.6534 2125.5372 2113.3125 2070.9162 2117.7342 2122.416 2124.4968 2128.9185 2119.815 2109.9312 2129.6988 2120.5953 2134.3806 
14:45:09.255421 2046 2043 2117.9943 2115.9135 2129.1786 2129.1786 2081.0601 2115.9135 2117.4741 2120.5953 2123.9766 2122.9362 2114.613 2126.3175 2117.214 2130.219 
14:45:09.263333 2047 2044 2118.5145 2123.4564 2135.421 2152.3275 2087.8227 2117.9943 2120.0751 2111.7519 2110.7115 2114.613 2124.7569 2132.82 2120.8554 2135.421 
14:45:09.271318 2048 2046 2127.8781 2142.9639 2152.0674 2171.835 2095.8858 2133.6003 2133.6003 2113.5726 2108.6307 2109.411 2148.9462 2158.83 2136.9816 2132.2998 
14:45:09.279396 2046 2045 2140.1028 2162.2113 2175.4764 2187.1809 2102.3883 2134.6407 2132.5599 2130.4791 2122.9362 2125.017 2184.0597 2195.244 2162.4714 2135.9412 
14:45:09.287414 2047 2043 2155.4487 2168.4537 2204.6076 2204.8677 2106.81 2133.6003 2135.9412 2157.0093 2145.3048 2153.3679 2204.3475 2219.4333 2185.1001 2137.7619 
14:45:09.295332 2048 2043 2151.5472 2156.229 2209.5495 2206.9485 2101.0878 2135.1609 2140.3629 2158.5699 2144.5245 2147.1255 2198.1051 2219.4333 2182.4991 2142.9639 
14:45:09.302330 2047 2041 2154.6684 2169.4941 2214.2313 2220.4737 2122.1559 2154.6684 2155.9689 2167.1532 2152.5876 2152.8477 2218.1328 2240.2413 2196.0243 2137.2417 
14:45:09.311446 2049 2042 2148.9462 2169.234 2215.5318 2217.3525 2120.5953 2147.9058 2151.2871 2155.7088 2148.426 2152.5876 2216.8323 2238.9408 2191.6026 2138.5422 
14:45:09.318410 2047 2040 2152.5876 2183.2794 2224.8954 2239.9812 2134.6407 2160.3906 2163.5118 2164.5522 2159.0901 2168.1936 2225.4156 2245.9635 2206.4283 2139.0624 
14:45:09.326332 2048 2038 2147.9058 2180.6784 2215.0116 2241.0216 2137.2417 2159.3502 2156.4891 2165.5926 2158.0497 2161.1709 2220.7338 2243.3625 2204.6076 2141.6634 
14:45:09.334331 2049 2038 2146.3452 2176.5168 2199.1455 2226.7161 2133.3402 2150.5068 2149.2063 2166.8931 2160.3906 2153.8881 2215.5318 2238.6807 2198.3652 2142.1836 
14:45:09.342456 2047 2034 2133.0801 2158.5699 2179.638 2199.1455 2115.1332 2130.219 2135.421 2146.6053 2141.1432 2135.9412 2194.2036 2209.0293 2176.2567 2141.4033 
14:45:09.350413 2048 2033 2128.6584 2145.3048 2171.3148 2183.7996 2107.3302 2128.1382 2133.3402 2129.6988 2125.017 2122.9362 2169.7542 2186.4006 2153.3679 2135.9412 
14:45:09.358335 2048 2033 2123.9766 2134.3806 2158.83 2168.9739 2102.9085 2128.9185 2131.5195 2132.82 2126.8377 2130.7392 2148.6861 2174.1759 2140.8831 2132.2998 
14:45:09.366356 2046 2033 2117.214 2125.5372 2148.1659 2150.5068 2096.6661 2119.0347 2127.3579 2124.2367 2126.0574 2130.9993 2134.1205 2152.3275 2125.5372 2131.7796 
14:45:09.375261 2044 2033 2113.8327 2133.8604 2143.224 2152.5876 2113.3125 2125.2771 2134.1205 2115.9135 2122.6761 2122.6761 2135.6811 2135.9412 2117.9943 2127.0978 
14:45:09.381388 2045 2034 2116.4337 2127.3579 2137.5018 2140.623 2113.0524 2122.416 2128.6584 2111.7519 2119.0347 2107.3302 2123.1963 2123.7165 2110.1913 2126.5776 
14:45:09.389330 2045 2034 2121.1155 2110.9716 2132.5599 2110.4514 2091.204 2100.0474 2108.6307 2107.0701 2117.7342 2097.9666 2109.9312 2119.815 2107.8504 2126.8377 
14:45:09.397336 2044 2033 2120.3352 2114.0928 2128.3983 2104.9893 2092.5045 2097.1863 2102.3883 2103.9489 2109.1509 2095.3656 2116.9539 2122.416 2113.5726 2129.4387 
14:45:09.406425 2045 2033 2122.416 2120.5953 2129.4387 2117.214 2106.5499 2113.8327 2116.6938 2108.8908 2102.9085 2099.5272 2119.2948 2123.7165 2117.9943 2127.0978 
14:45:09.413387 2046 2034 2127.8781 2118.2544 2125.017 2114.0928 2106.0297 2114.8731 2122.6761 2120.0751 2111.7519 2114.613 2120.3352 2131.5195 2129.1786 2133.8604 
14:45:09.421329 2048 2035 2134.9008 2127.3579 2122.9362 2115.6534 2112.5322 2113.0524 2120.0751 2131.2594 2129.4387 2130.219 2138.5422 2147.6457 2146.0851 2136.7215 
14:45:09.429348 2049 2036 2127.0978 2138.2821 2120.8554 2135.1609 2133.6003 2128.9185 2129.6988 2143.4841 2141.4033 2140.3629 2151.027 2154.4083 2154.9285 2138.8023 
14:45:09.437702 2048 2037 2124.4968 2141.6634 2126.0574 2150.7669 2149.9866 2147.1255 2146.8654 2157.2694 2150.2467 2152.3275 2152.8477 2157.2694 2161.6911 2133.8604 
14:45:09.445355 2049 2038 2121.6357 2132.0397 2123.4564 2136.7215 2140.8831 2135.9412 2137.2417 2146.8654 2140.623 2140.3629 2138.5422 2144.0043 2147.3856 2128.3983 
14:45:09.452324 2049 2039 2107.8504 2128.6584 2108.1105 2130.219 2139.8427 2128.1382 2126.8377 2135.6811 2129.6988 2130.7392 2130.219 2132.0397 2134.9008 2140.3629 
14:45:09.460318 2049 2039 2121.3756 2153.628 2120.0751 2159.0901 2172.0951 2159.3502 2159.0901 2158.83 2152.3275 2162.7315 2151.027 2152.5876 2155.1886 2125.7973 
14:45:09.468840 2050 2040 2110.7115 2126.0574 2111.7519 2126.8377 2137.2417 2129.9589 2136.2013 2136.7215 2132.2998 2142.1836 2118.7746 2125.5372 2125.017 2127.0978 
14:45:09.476362 2050 2041 2105.7696 2104.7292 2103.1686 2095.8858 2105.2494 2101.3479 2113.5726 2109.6711 2111.4918 2108.1105 2092.2444 2103.9489 2099.2671 2151.2871 
14:45:09.484328 2047 2039 2163.5118 2177.037 2157.2694 2170.2744 2183.7996 2175.4764 2186.1405 2177.8173 2176.5168 2179.3779 2170.7946 2179.8981 2178.5976 2090.6838 
14:45:09.492320 2047 2037 2149.2063 2159.6103 2151.027 2156.229 2168.9739 2160.6507 2165.5926 2162.9916 2159.6103 2167.9335 2156.4891 2167.4133 2165.5926 2086.7823 
14:45:09.500609 2042 2038 2106.81 2098.7469 2112.012 2090.6838 2101.0878 2094.8454 2097.9666 2097.1863 2101.0878 2098.2267 2085.7419 2104.4691 2092.5045 2139.3225 
14:45:09.508334 2042 2036 2101.8681 2098.4868 2100.5676 2088.3429 2103.6888 2092.5045 2097.7065 2087.5626 2096.9262 2092.2444 2082.1005 2099.007 2086.002 2147.6457 
14:45:09.516321 2037 2037 2131.7796 2135.6811 2125.5372 2125.7973 2147.6457 2132.82 2138.5422 2127.3579 2134.1205 2126.8377 2125.7973 2138.5422 2131.7796 2096.1459 
14:45:09.523330 2035 2038 2101.8681 2097.4464 2100.5676 2086.2621 2110.7115 2095.3656 2101.608 2093.5449 2099.007 2081.3202 2087.0424 2103.1686 2095.1055 2118.2544 
14:45:09.531603 2032 2041 2114.0928 2110.7115 2104.9893 2098.7469 2124.7569 2106.2898 2113.8327 2103.9489 2110.9716 2103.4287 2098.7469 2115.6534 2105.7696 2125.7973 
14:45:09.539346 2032 2041 2121.3756 2117.214 2111.4918 2105.7696 2127.0978 2110.7115 2119.5549 2114.613 2121.6357 2130.9993 2111.2317 2126.0574 2120.0751 2110.1913 
14:45:09.547328 2029 2046 2110.1913 2105.5095 2105.7696 2093.5449 2114.0928 2100.5676 2109.9312 2107.5903 2113.8327 2117.9943 2103.1686 2116.9539 2114.0928 2121.1155 
14:45:09.555349 2029 2045 2115.9135 2112.012 2110.9716 2100.0474 2131.2594 2109.411 2119.0347 2117.7342 2121.1155 2116.6938 2113.8327 2127.3579 2124.4968 2112.7923 
14:45:09.563461 2027 2046 2108.6307 2101.8681 2104.209 2091.204 2129.9589 2102.6484 2115.9135 2113.5726 2116.9539 2114.0928 2106.5499 2122.416 2116.4337 2116.4337 
14:45:09.571350 2028 2048 2110.4514 2105.7696 2109.6711 2096.406 2133.8604 2109.9312 2122.6761 2123.4564 2126.8377 2130.7392 2109.9312 2124.2367 2118.5145 2114.0928 
