# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:35:23.517429 2047 2038 2132.5599 2132.82 2131.5195 2130.219 2129.4387 2131.2594 2127.0978 2133.3402 2132.2998 2134.3806 2131.7796 2133.8604 2159.8704 2503.4625 
14:35:23.525428 2043 2037 2129.9589 2132.5599 2132.5599 2131.7796 2129.4387 2132.82 2131.2594 2131.5195 2131.5195 2135.1609 2131.7796 2133.3402 2158.0497 2501.1216 
14:35:23.533425 2044 2037 2130.9993 2131.2594 2132.0397 2132.2998 2128.3983 2131.5195 2128.3983 2132.2998 2132.82 2135.9412 2133.3402 2134.1205 2160.1305 2502.9423 
14:35:23.541547 2044 2038 2132.0397 2129.9589 2131.2594 2131.2594 2128.9185 2130.7392 2128.6584 2133.0801 2131.7796 2134.9008 2133.0801 2133.3402 2162.4714 2501.9019 
14:35:23.548721 2044 2039 2133.3402 2129.4387 2131.7796 2130.219 2129.4387 2129.1786 2131.2594 2130.7392 2131.5195 2134.6407 2133.0801 2135.421 2160.9108 2504.2428 
14:35:23.556719 2046 2040 2132.82 2131.2594 2131.7796 2130.9993 2130.7392 2129.9589 2133.0801 2130.7392 2133.6003 2135.421 2134.3806 2137.2417 2158.0497 2503.9827 
14:35:23.564720 2045 2038 2132.0397 2130.219 2132.2998 2129.6988 2132.2998 2132.5599 2131.2594 2133.8604 2134.1205 2135.421 2136.4614 2137.7619 2158.83 2503.4625 
14:35:23.572702 2046 2038 2132.82 2129.9589 2132.2998 2129.4387 2134.1205 2135.1609 2131.2594 2133.0801 2132.5599 2134.6407 2135.6811 2137.7619 2160.6507 2506.8438 
14:35:23.580703 2046 2038 2131.5195 2132.5599 2131.5195 2132.82 2133.3402 2133.0801 2132.0397 2132.2998 2131.7796 2134.3806 2134.9008 2138.5422 2160.6507 2505.5433 
14:35:23.588701 2044 2036 2132.2998 2134.9008 2129.9589 2131.7796 2131.5195 2132.0397 2129.9589 2132.5599 2131.5195 2134.3806 2133.8604 2137.2417 2160.9108 2506.8438 
14:35:23.596671 2044 2036 2131.2594 2133.6003 2131.2594 2131.7796 2132.5599 2133.0801 2131.2594 2132.2998 2131.7796 2134.1205 2130.4791 2133.8604 2160.1305 2506.8438 
14:35:23.604700 2043 2038 2132.0397 2132.0397 2131.7796 2129.9589 2130.4791 2132.82 2127.8781 2130.4791 2131.5195 2134.3806 2128.1382 2133.8604 2161.9512 2512.566 
14:35:23.612701 2045 2038 2130.219 2132.82 2133.0801 2129.9589 2130.4791 2130.4791 2129.6988 2132.2998 2132.0397 2135.6811 2129.1786 2133.8604 2161.431 2506.5837 
14:35:23.619683 2045 2038 2132.5599 2133.6003 2132.2998 2127.8781 2130.4791 2129.4387 2128.6584 2133.6003 2133.0801 2136.2013 2129.9589 2133.0801 2159.8704 2506.8438 
14:35:23.627677 2045 2040 2130.9993 2132.82 2133.0801 2129.9589 2132.5599 2128.3983 2130.7392 2132.82 2133.0801 2135.421 2132.2998 2131.2594 2159.0901 2503.9827 
14:35:23.635685 2045 2040 2132.0397 2129.9589 2132.82 2128.1382 2130.4791 2129.9589 2127.3579 2131.5195 2131.7796 2135.1609 2134.9008 2136.2013 2160.9108 2505.2832 
14:35:23.643681 2044 2037 2130.4791 2131.2594 2132.5599 2130.9993 2132.2998 2132.2998 2130.7392 2133.0801 2132.0397 2134.9008 2133.3402 2136.2013 2159.6103 2501.1216 
14:35:23.659674 2045 2038 2131.7796 2133.0801 2132.0397 2132.5599 2131.7796 2130.9993 2132.2998 2131.7796 2133.8604 2135.421 2134.3806 2136.9816 2159.6103 2503.2024 
14:35:23.667584 2046 2039 2132.2998 2132.2998 2132.82 2128.9185 2129.9589 2131.2594 2130.9993 2133.3402 2131.7796 2135.421 2130.9993 2137.2417 2161.431 2507.1039 
14:35:23.675685 2046 2038 2131.7796 2132.0397 2130.9993 2130.4791 2131.2594 2129.9589 2133.8604 2133.6003 2131.2594 2134.6407 2131.7796 2136.2013 2162.4714 2508.4044 
14:35:23.682681 2046 2038 2132.5599 2130.4791 2129.4387 2130.9993 2130.4791 2129.9589 2131.7796 2132.2998 2132.2998 2135.6811 2135.6811 2137.2417 2161.431 2506.0635 
14:35:23.690679 2043 2038 2131.5195 2130.7392 2131.2594 2130.4791 2132.0397 2135.6811 2132.2998 2132.5599 2132.0397 2135.1609 2132.2998 2135.6811 2159.8704 2501.6418 
14:35:23.698684 2043 2037 2132.82 2132.2998 2131.5195 2130.219 2131.2594 2136.7215 2130.9993 2133.6003 2131.5195 2133.3402 2132.0397 2137.7619 2162.7315 2505.0231 
14:35:23.706685 2044 2038 2133.6003 2133.6003 2130.7392 2130.7392 2130.9993 2130.9993 2130.4791 2132.2998 2132.2998 2134.6407 2135.421 2138.8023 2164.032 2507.1039 
14:35:23.714668 2046 2040 2131.5195 2133.3402 2132.5599 2130.4791 2131.2594 2125.7973 2130.7392 2131.5195 2132.5599 2136.2013 2134.3806 2137.2417 2161.6911 2506.3236 
14:35:23.722680 2047 2040 2131.5195 2133.6003 2130.7392 2129.9589 2130.7392 2126.0574 2128.6584 2131.7796 2132.82 2135.1609 2129.6988 2135.6811 2161.431 2509.1847 
14:35:23.730684 2045 2039 2130.4791 2133.3402 2131.2594 2131.7796 2129.9589 2128.6584 2130.219 2132.82 2134.3806 2134.3806 2130.219 2134.6407 2160.1305 2505.8034 
14:35:23.738684 2044 2037 2130.7392 2133.0801 2133.3402 2130.4791 2130.219 2132.82 2131.2594 2131.5195 2132.82 2135.421 2131.2594 2131.2594 2158.5699 2506.0635 
14:35:23.745684 2043 2037 2129.9589 2132.2998 2133.6003 2130.7392 2133.3402 2135.9412 2132.5599 2131.5195 2132.2998 2136.2013 2131.7796 2129.4387 2158.3098 2503.4625 
14:35:23.753680 2043 2035 2133.0801 2131.2594 2131.2594 2130.219 2130.9993 2134.3806 2126.3175 2132.0397 2133.3402 2135.9412 2134.1205 2133.8604 2159.8704 2504.763 
14:35:23.761682 2046 2039 2130.9993 2131.5195 2132.0397 2133.0801 2129.9589 2128.1382 2128.1382 2133.8604 2133.3402 2135.9412 2134.3806 2136.9816 2159.6103 2500.8615 
14:35:23.769679 2046 2039 2131.5195 2131.7796 2130.9993 2130.4791 2129.9589 2124.7569 2127.8781 2132.82 2133.0801 2135.421 2133.8604 2140.3629 2161.431 2506.0635 
14:35:23.777678 2046 2039 2130.4791 2133.0801 2131.2594 2130.7392 2132.82 2126.5776 2130.4791 2133.0801 2134.1205 2134.9008 2132.2998 2136.7215 2160.3906 2503.7226 
14:35:23.785669 2044 2038 2132.5599 2132.2998 2132.0397 2129.4387 2130.7392 2131.7796 2129.4387 2132.82 2133.0801 2135.6811 2131.2594 2135.6811 2161.1709 2508.4044 
14:35:23.793661 2043 2036 2130.7392 2130.4791 2132.5599 2131.2594 2131.2594 2135.421 2133.8604 2132.82 2132.0397 2134.6407 2130.219 2133.8604 2159.3502 2504.5029 
14:35:23.801671 2043 2037 2132.0397 2131.7796 2130.7392 2130.7392 2133.0801 2136.4614 2132.2998 2132.0397 2133.8604 2133.8604 2131.2594 2134.1205 2159.3502 2506.8438 
14:35:23.809670 2044 2038 2130.4791 2134.1205 2131.2594 2132.0397 2134.3806 2133.0801 2133.3402 2132.0397 2134.9008 2135.421 2131.5195 2132.2998 2158.83 2503.2024 
14:35:23.816747 2046 2038 2132.5599 2131.5195 2132.2998 2130.219 2129.9589 2127.0978 2130.7392 2132.0397 2133.3402 2135.421 2133.6003 2136.9816 2161.431 2505.2832 
14:35:23.824720 2046 2039 2133.0801 2130.9993 2133.0801 2129.6988 2129.9589 2124.4968 2131.5195 2132.0397 2133.8604 2134.3806 2133.0801 2139.3225 2162.4714 2506.8438 
14:35:23.832717 2044 2038 2132.82 2132.5599 2132.0397 2129.9589 2131.2594 2127.3579 2129.1786 2131.7796 2135.421 2134.6407 2131.7796 2138.5422 2162.7315 2510.7453 
14:35:23.840660 2043 2038 2130.9993 2132.82 2131.2594 2129.9589 2132.2998 2133.8604 2128.3983 2132.0397 2134.3806 2134.3806 2130.9993 2135.421 2161.1709 2508.9246 
14:35:23.848705 2042 2036 2131.5195 2131.7796 2132.0397 2129.6988 2130.7392 2136.9816 2128.6584 2132.82 2133.0801 2133.6003 2132.2998 2134.3806 2159.6103 2507.364 
14:35:23.856685 2043 2037 2131.5195 2132.2998 2132.2998 2130.4791 2130.9993 2133.6003 2128.6584 2132.0397 2133.3402 2134.9008 2131.5195 2132.5599 2159.6103 2508.6645 
14:35:23.864688 2046 2039 2129.9589 2131.5195 2133.0801 2130.9993 2131.7796 2126.5776 2130.9993 2131.7796 2133.8604 2136.2013 2131.7796 2132.82 2160.1305 2505.0231 
14:35:23.872685 2047 2039 2131.5195 2131.5195 2132.2998 2128.6584 2130.7392 2124.2367 2129.4387 2131.5195 2133.3402 2135.1609 2132.2998 2133.0801 2158.5699 2502.6822 
14:35:23.879666 2045 2039 2131.2594 2132.82 2132.0397 2130.9993 2133.0801 2126.8377 2129.9589 2131.5195 2133.8604 2134.3806 2133.3402 2132.82 2157.7896 2500.3413 
